"chimp_id","year","network_sex","behavior","network_type","bt","ec","deg_in","deg_out","sex","mother_id","father_id","dobc","dfs","dls","age_mid_year","avg_rank","rank_class","days_cycling","days_obs","prop_cyc"
"OU",2011,"female","grooming","directed",1,1,1,2,"F",NA,NA,1979-12-14,1992-12-10,2017-07-21,31.5455167693361,1,"hi",18,194,0.0927835051546392
"PO",2011,"female","grooming","directed",0,0,0,0,"F",NA,NA,1998-03-04,2011-03-01,NA,13.3251197809719,0,"lo",4,39,0.102564102564103
"QT",2011,"female","grooming","directed",0,0,0,2,"F",NA,NA,1992-06-20,2005-06-17,NA,19.0280629705681,0.398577450334247,"med",0,189,0
"RD",2011,"female","grooming","directed",0,0,0,0,"F",NA,NA,1995-10-16,2008-10-12,2017-01-13,15.7070499657769,0.0939409906,"lo",19,87,0.218390804597701
"TG",2011,"female","grooming","directed",0,4.32666604436302e-16,1,0,"F",NA,NA,1980-05-17,1993-05-14,NA,31.1211498973306,0.846575342306849,"hi",8,173,0.046242774566474
"UM",2011,"female","grooming","directed",2,8.65333208872604e-16,2,1,"F",NA,NA,1982-12-31,1995-12-28,NA,28.498288843258,0.582946961312329,"med",0,88,0
"WA",2011,"female","grooming","directed",0,0,1,0,"F",NA,NA,1991-11-29,2004-11-25,NA,19.5865845311431,0.0012644889369863,"lo",44,130,0.338461538461538
"WL",2011,"female","grooming","directed",0,3.84592537276713e-16,1,0,"F",NA,NA,1992-10-27,2005-10-24,NA,18.6748802190281,0.743888303271233,"hi",0,180,0
"AL",2012,"female","grooming","directed",0,0,0,0,"F",NA,NA,1981-04-24,1994-04-21,NA,31.1868583162218,0.658725154625683,"med",0,120,0
"BL",2012,"female","grooming","directed",0,0,0,0,"F",NA,NA,1960-07-02,1993-05-24,2016-06-04,51.9972621492129,0.682744850461749,"hi",0,89,0
"LN",2012,"female","grooming","directed",0,3.01980662967599e-13,1,1,"F",NA,"Tyner (Ngogo)",1995-08-17,2008-08-13,NA,16.8733744010951,0.166636642071038,"lo",27,151,0.178807947019868
"LR",2012,"female","grooming","directed",5,4.22522927993842e-05,3,1,"F","LP",NA,1989-05-15,1989-06-16,2013-05-25,23.129363449692,0.854710862762295,"hi",0,188,0
"ML",2012,"female","grooming","directed",0,0,0,4,"F",NA,NA,1996-01-18,2009-01-14,NA,16.4517453798768,0.414640005218579,"med",0,134,0
"MU",2012,"female","grooming","directed",0,0,0,0,"F",NA,NA,1970-07-02,1990-02-02,2014-04-29,41.9986310746064,0.341470005404372,"med",0,49,0
"NP",2012,"female","grooming","directed",4,0,2,1,"F","NL","LK",2000-02-09,2000-02-11,NA,12.3915126625599,0,"lo",0,71,0
"OT",2012,"female","grooming","directed",1,0,2,1,"F","OU","ST",1998-02-13,1998-02-13,NA,14.3791923340178,0.268300006273224,"lo",0,138,0
"OU",2012,"female","grooming","directed",0,1.509903314838e-13,1,1,"F",NA,NA,1979-12-14,1992-12-10,2017-07-21,32.5475701574264,1,"hi",0,134,0
"PO",2012,"female","grooming","directed",0,0,0,0,"F",NA,NA,1998-03-04,2011-03-01,NA,14.3271731690623,0.184857142748,"lo",11,91,0.120879120879121
"QT",2012,"female","grooming","directed",0,0,0,2,"F",NA,NA,1992-06-20,2005-06-17,NA,20.0301163586585,0.487810004349727,"med",0,134,0
"RD",2012,"female","grooming","directed",6,0,3,2,"F",NA,NA,1995-10-16,2008-10-12,2017-01-13,16.7091033538672,0.0260763825273224,"lo",0,85,0
"TG",2012,"female","grooming","directed",0,1,1,0,"F",NA,NA,1980-05-17,1993-05-14,NA,32.1232032854209,0.925779139161202,"hi",0,149,0
"UM",2012,"female","grooming","directed",0,0,0,0,"F",NA,NA,1982-12-31,1995-12-28,NA,29.5003422313484,0.560980003163934,"med",0,45,0
"WA",2012,"female","grooming","directed",0,0,0,0,"F",NA,NA,1991-11-29,2004-11-25,NA,20.5886379192334,0.0470936166038251,"lo",0,44,0
"WL",2012,"female","grooming","directed",0,0,0,0,"F",NA,NA,1992-10-27,2005-10-24,NA,19.6769336071184,0.780490001923497,"hi",0,122,0
"AL",2013,"female","grooming","directed",0,2.35513868802566e-16,0,0,"F",NA,NA,1981-04-24,1994-04-21,NA,32.186173853525,0.686105675032877,"med",15,137,0.109489051094891
"BL",2013,"female","grooming","directed",0,2.35513868802566e-16,0,0,"F",NA,NA,1960-07-02,1993-05-24,2016-06-04,52.9965776865161,0.758277886550685,"hi",0,143,0
"LN",2013,"female","grooming","directed",0,0,1,0,"F",NA,"Tyner (Ngogo)",1995-08-17,2008-08-13,NA,17.8726899383984,0.186379647632877,"lo",0,202,0
"ML",2013,"female","grooming","directed",1,0,1,1,"F",NA,NA,1996-01-18,2009-01-14,NA,17.45106091718,0.502426614465753,"med",0,200,0
"MU",2013,"female","grooming","directed",0,2.35513868802566e-16,0,0,"F",NA,NA,1970-07-02,1990-02-02,2014-04-29,42.9979466119097,0.400547945408219,"med",0,118,0
"NP",2013,"female","grooming","directed",0,2.35513868802566e-16,0,2,"F","NL","LK",2000-02-09,2000-02-11,NA,13.3908281998631,0,"lo",0,183,0
"OT",2013,"female","grooming","directed",0,1,1,1,"F","OU","ST",1998-02-13,1998-02-13,NA,15.378507871321,0.294520548175342,"lo",0,178,0
"OU",2013,"female","grooming","directed",0,1,1,1,"F",NA,NA,1979-12-14,1992-12-10,2017-07-21,33.5468856947296,1,"hi",16,168,0.0952380952380952
"PO",2013,"female","grooming","directed",1,0,1,1,"F",NA,NA,1998-03-04,2011-03-01,NA,15.3264887063655,0.292407044865753,"lo",119,189,0.62962962962963
"QT",2013,"female","grooming","directed",0,2.35513868802566e-16,0,0,"F",NA,NA,1992-06-20,2005-06-17,NA,21.0294318959617,0.516712328665753,"med",12,168,0.0714285714285714
"RD",2013,"female","grooming","directed",0,0,1,0,"F",NA,NA,1995-10-16,2008-10-12,2017-01-13,17.7084188911704,0.0629745593150685,"lo",21,125,0.168
"TG",2013,"female","grooming","directed",0,2.35513868802566e-16,0,0,"F",NA,NA,1980-05-17,1993-05-14,NA,33.1225188227242,0.928610567936986,"hi",0,215,0
"UM",2013,"female","grooming","directed",0,2.35513868802566e-16,0,0,"F",NA,NA,1982-12-31,1995-12-28,NA,30.4996577686516,0.614716242580822,"med",0,65,0
"WA",2013,"female","grooming","directed",0,2.35513868802566e-16,0,0,"F",NA,NA,1991-11-29,2004-11-25,NA,21.5879534565366,0.0956164383890411,"lo",0,148,0
"WL",2013,"female","grooming","directed",0,2.35513868802566e-16,0,0,"F",NA,NA,1992-10-27,2005-10-24,NA,20.6762491444216,0.828884540142466,"hi",7,187,0.0374331550802139
"AL",2014,"female","grooming","directed",0,0,0,0,"F",NA,NA,1981-04-24,1994-04-21,NA,33.1854893908282,0.639409904860274,"med",0,127,0
"BL",2014,"female","grooming","directed",0,0,0,0,"F",NA,NA,1960-07-02,1993-05-24,2016-06-04,53.9958932238193,0.774604847145205,"hi",0,124,0
"LN",2014,"female","grooming","directed",0,0,1,0,"F",NA,"Tyner (Ngogo)",1995-08-17,2008-08-13,NA,18.8720054757016,0.225395152854795,"lo",0,173,0
"ML",2014,"female","grooming","directed",0,0,1,1,"F",NA,NA,1996-01-18,2009-01-14,NA,18.4503764544832,0.545626975356164,"med",0,176,0
"NP",2014,"female","grooming","directed",3,0,3,1,"F","NL","LK",2000-02-09,2000-02-11,NA,14.3901437371663,0,"lo",9,172,0.0523255813953488
"OT",2014,"female","grooming","directed",0,1,1,1,"F","OU","ST",1998-02-13,1998-02-13,NA,16.3778234086242,0.3756585882,"med",0,133,0
"OU",2014,"female","grooming","directed",0,1,1,1,"F",NA,NA,1979-12-14,1992-12-10,2017-07-21,34.5462012320329,1,"hi",0,136,0
"PO",2014,"female","grooming","directed",0,0,0,2,"F",NA,NA,1998-03-04,2011-03-01,NA,16.3258042436687,0.300526870690411,"lo",15,107,0.14018691588785
"QT",2014,"female","grooming","directed",0,0,1,0,"F",NA,NA,1992-06-20,2005-06-17,NA,22.0287474332649,0.477660695736986,"med",14,163,0.0858895705521472
"RD",2014,"female","grooming","directed",0,0,1,0,"F",NA,NA,1995-10-16,2008-10-12,2017-01-13,18.7077344284736,0.075131717509589,"lo",17,66,0.257575757575758
"TG",2014,"female","grooming","directed",0,0,0,1,"F",NA,NA,1980-05-17,1993-05-14,NA,34.1218343600274,0.924868282490411,"hi",1,189,0.00529100529100529
"UM",2014,"female","grooming","directed",0,0,0,0,"F",NA,NA,1982-12-31,1995-12-28,NA,31.4989733059548,0.688514225265753,"hi",6,64,0.09375
"WA",2014,"female","grooming","directed",0,0,0,2,"F",NA,NA,1991-11-29,2004-11-25,NA,22.5872689938398,0.150263435345205,"lo",5,177,0.0282485875706215
"WL",2014,"female","grooming","directed",0,0,0,0,"F",NA,NA,1992-10-27,2005-10-24,NA,21.6755646817248,0.849736564654795,"hi",20,141,0.141843971631206
"AL",2015,"female","grooming","directed",0,1.96261557335472e-16,0,0,"F",NA,NA,1981-04-24,1994-04-21,NA,34.1848049281314,0.640964799978082,"hi",46,250,0.184
"BL",2015,"female","grooming","directed",0,1.96261557335472e-16,0,0,"F",NA,NA,1960-07-02,1993-05-24,2016-06-04,54.9952087611225,0.784578880046575,"hi",0,178,0
"GG",2015,"female","grooming","directed",0,1.96261557335472e-16,0,0,"F","GS","AJ?",2002-07-02,2005-01-19,NA,12.9965776865161,0.1875,"lo",0,128,0
"LN",2015,"female","grooming","directed",0,1.96261557335472e-16,0,0,"F",NA,"Tyner (Ngogo)",1995-08-17,2008-08-13,NA,19.8713210130048,0.267009508983562,"lo",14,172,0.0813953488372093
"ML",2015,"female","grooming","directed",0,1.96261557335472e-16,0,0,"F",NA,NA,1996-01-18,2009-01-14,NA,19.4496919917864,0.526228485967123,"med",24,268,0.0895522388059701
"NP",2015,"female","grooming","directed",0,1.96261557335472e-16,0,2,"F","NL","LK",2000-02-09,2000-02-11,NA,15.3894592744695,0.0198793216027397,"lo",0,264,0
"OT",2015,"female","grooming","directed",0,3.14018491736755e-16,1,0,"F","OU","ST",1998-02-13,1998-02-13,NA,17.3771389459274,0.41250715069589,"med",31,208,0.149038461538462
"OU",2015,"female","grooming","directed",0,1.96261557335472e-16,0,1,"F",NA,NA,1979-12-14,1992-12-10,2017-07-21,35.5455167693361,1,"hi",10,223,0.0448430493273543
"PO",2015,"female","grooming","directed",4,1,3,2,"F",NA,NA,1998-03-04,2011-03-01,NA,17.3251197809719,0.338816548780822,"med",3,219,0.0136986301369863
"QT",2015,"female","grooming","directed",0,0.707106781186547,1,1,"F",NA,NA,1992-06-20,2005-06-17,NA,23.0280629705681,0.541010587553425,"med",0,218,0
"RD",2015,"female","grooming","directed",0,0.707106781186547,1,1,"F",NA,NA,1995-10-16,2008-10-12,2017-01-13,19.7070499657769,0.0562998643863014,"lo",0,104,0
"TG",2015,"female","grooming","directed",0,1.96261557335472e-16,0,0,"F",NA,NA,1980-05-17,1993-05-14,NA,35.1211498973306,0.928192960115068,"hi",16,223,0.0717488789237668
"UM",2015,"female","grooming","directed",0,1.96261557335472e-16,0,0,"F",NA,NA,1982-12-31,1995-12-28,NA,32.498288843258,0.712771839775342,"hi",0,72,0
"WA",2015,"female","grooming","directed",0,2.35513868802566e-16,1,0,"F",NA,NA,1991-11-29,2004-11-25,NA,23.5865845311431,0.139241933964384,"lo",52,186,0.279569892473118
"WL",2015,"female","grooming","directed",0,1.96261557335472e-16,0,0,"F",NA,NA,1992-10-27,2005-10-24,NA,22.6748802190281,0.856385919931507,"hi",0,194,0
"AL",2016,"female","grooming","directed",0,0,0,0,"F",NA,NA,1981-04-24,1994-04-21,NA,35.1868583162218,0.702128870521858,"hi",0,175,0
"DL",2016,"female","grooming","directed",0,0,0,2,"F",NA,NA,2003-01-07,2016-01-04,NA,13.4811772758385,0,"lo",45,90,0.5
"GG",2016,"female","grooming","directed",0,0,0,1,"F","GS","AJ?",2002-07-02,2005-01-19,NA,13.9986310746064,0.108583788472678,"lo",0,80,0
"LN",2016,"female","grooming","directed",0,0,0,0,"F",NA,"Tyner (Ngogo)",1995-08-17,2008-08-13,NA,20.8733744010951,0.295503187789617,"lo",10,72,0.138888888888889
"ML",2016,"female","grooming","directed",0,0,0,1,"F",NA,NA,1996-01-18,2009-01-14,NA,20.4517453798768,0.566586976062841,"med",0,195,0
"NP",2016,"female","grooming","directed",4,1,3,2,"F","NL","LK",2000-02-09,2000-02-11,NA,16.3915126625599,0.186919398743169,"lo",0,195,0
"OT",2016,"female","grooming","directed",0,0,0,1,"F","OU","ST",1998-02-13,1998-02-13,NA,18.3791923340178,0.490960837898907,"med",0,98,0
"OU",2016,"female","grooming","directed",0,1.92296268638356e-16,1,0,"F",NA,NA,1979-12-14,1992-12-10,2017-07-21,36.5475701574264,1,"hi",0,97,0
"PO",2016,"female","grooming","directed",0,0,0,1,"F",NA,NA,1998-03-04,2011-03-01,NA,18.3271731690623,0.363274134696721,"med",12,124,0.0967741935483871
"QT",2016,"female","grooming","directed",0,1,1,1,"F",NA,NA,1992-06-20,2005-06-17,NA,24.0301163586585,0.634357923579235,"med",0,150,0
"RD",2016,"female","grooming","directed",0,1,2,0,"F",NA,NA,1995-10-16,2008-10-12,2017-01-13,20.7091033538672,0,"lo",2,76,0.0263157894736842
"TG",2016,"female","grooming","directed",0,2.40370335797945e-16,1,0,"F",NA,NA,1980-05-17,1993-05-14,NA,36.1232032854209,0.932229053057377,"hi",0,197,0
"UM",2016,"female","grooming","directed",0,1.44222201478767e-16,1,0,"F",NA,NA,1982-12-31,1995-12-28,NA,33.5003422313484,0.769899818002732,"hi",0,129,0
"WA",2016,"female","grooming","directed",0,0,0,0,"F",NA,NA,1991-11-29,2004-11-25,NA,24.5886379192334,0.111122495516393,"lo",0,77,0
"WL",2016,"female","grooming","directed",0,0,0,0,"F",NA,NA,1992-10-27,2005-10-24,NA,23.6769336071184,0.864458105576503,"hi",0,131,0
"AL",2017,"female","grooming","directed",0,0.5,2,0,"F",NA,NA,1981-04-24,1994-04-21,NA,36.186173853525,0.705410205994521,"hi",0,193,0
"DL",2017,"female","grooming","directed",10,0,1,7,"F",NA,NA,2003-01-07,2016-01-04,NA,14.4804928131417,0.429670329848485,"med",140,259,0.540540540540541
"FS",2017,"female","grooming","directed",0,0,0,1,"F",NA,NA,2004-02-08,2017-02-04,NA,13.3935660506502,0.163945578246032,"lo",29,201,0.144278606965174
"GG",2017,"female","grooming","directed",0,0,0,0,"F","GS","AJ?",2002-07-02,2005-01-19,NA,14.9979466119097,0.00254403129589041,"lo",0,75,0
"JU",2017,"female","grooming","directed",0,0,0,0,"F",NA,NA,2003-10-16,2016-10-12,NA,13.7084188911704,0.454938271805556,"med",98,182,0.538461538461538
"LN",2017,"female","grooming","directed",7,0.5,2,1,"F",NA,"Tyner (Ngogo)",1995-08-17,2008-08-13,NA,21.8726899383984,0.238515730873973,"lo",22,106,0.207547169811321
"ML",2017,"female","grooming","directed",0,0.5,1,1,"F",NA,NA,1996-01-18,2009-01-14,NA,21.45106091718,0.583916904726027,"med",0,222,0
"NP",2017,"female","grooming","directed",18,0.5,2,6,"F","NL","LK",2000-02-09,2000-02-11,NA,17.3908281998631,0.150021576641096,"lo",0,200,0
"OM",2017,"female","grooming","directed",0,0,0,3,"F","OU","TU",2005-06-23,2005-06-30,NA,12.0219028062971,0.328813287326027,"med",6,172,0.0348837209302326
"OT",2017,"female","grooming","directed",6,0.499999999999999,3,2,"F","OU","ST",1998-02-13,1998-02-13,NA,19.378507871321,0.547764564328767,"med",0,188,0
"OU",2017,"female","grooming","directed",0,0.499999999999999,2,0,"F",NA,NA,1979-12-14,1992-12-10,2017-07-21,37.5468856947296,1,"hi",0,97,0
"PO",2017,"female","grooming","directed",1,0.5,1,1,"F",NA,NA,1998-03-04,2011-03-01,NA,19.3264887063655,0.409891113369863,"med",58,192,0.302083333333333
"QT",2017,"female","grooming","directed",0,0,1,1,"F",NA,NA,1992-06-20,2005-06-17,NA,25.0294318959617,0.724383561580822,"hi",13,238,0.0546218487394958
"TG",2017,"female","grooming","directed",0,1,3,0,"F",NA,NA,1980-05-17,1993-05-14,NA,37.1225188227242,0.960138491852055,"hi",0,223,0
"UM",2017,"female","grooming","directed",0,0.999999999999999,5,0,"F",NA,NA,1982-12-31,1995-12-28,NA,34.4996577686516,0.830743138219178,"hi",0,185,0
"WA",2017,"female","grooming","directed",0,0,0,1,"F",NA,NA,1991-11-29,2004-11-25,NA,25.5879534565366,0.0847759544657534,"lo",0,196,0
"WL",2017,"female","grooming","directed",0,0,1,0,"F",NA,NA,1992-10-27,2005-10-24,NA,24.6762491444216,0.876810677865753,"hi",3,227,0.013215859030837
"AJ",2010,"male","grooming","directed",2.04285714285714,0.867603686121819,7,5,"M","LP",NA,1974-07-02,1983-07-02,2014-07-23,35.9972621492129,0.723051332009589,"hi",NA,NA,NA
"BB",2010,"male","grooming","directed",13.0428571428571,1,8,7,"M",NA,NA,1966-07-02,1983-07-02,NA,43.9972621492129,0.817528225156164,"hi",NA,NA,NA
"ES",2010,"male","grooming","directed",1.14285714285714,0.15894706621112,1,1,"M","EK","AJ",1994-07-02,1996-03-03,NA,15.9972621492129,0.350666867552055,"med",NA,NA,NA
"KK",2010,"male","grooming","directed",3.16666666666667,0.830620465523621,6,8,"M","KL",NA,1985-07-15,1985-07-02,2013-05-24,24.9609856262834,1,"hi",NA,NA,NA
"LK",2010,"male","grooming","directed",4.45238095238095,0.911439301053157,7,8,"M","LP",NA,1983-07-02,1983-07-02,NA,26.9979466119097,0.912625319830137,"hi",NA,NA,NA
"MS",2010,"male","grooming","directed",2.43571428571429,1,8,5,"M","FG",NA,1975-07-02,1983-07-02,2010-10-29,34.9979466119097,0.828304528971514,"hi",NA,NA,NA
"PB",2010,"male","grooming","directed",9.85,0.260723586148407,3,6,"M","PU",NA,1995-01-24,1995-02-24,NA,15.4332648870637,0.264272166346575,"lo",NA,NA,NA
"PG",2010,"male","grooming","directed",2.98571428571429,0.614991867579143,5,5,"M","PU",NA,1988-11-11,1988-12-24,2013-05-24,21.6344969199179,0.625560740508219,"med",NA,NA,NA
"ST",2010,"male","grooming","directed",4.72619047619048,0.965354839217221,8,6,"M",NA,NA,1955-07-02,1983-07-02,2013-06-01,54.9979466119097,0.470200210821918,"med",NA,NA,NA
"TU",2010,"male","grooming","directed",0.166666666666667,0.589282674819213,4,5,"M",NA,NA,1960-07-02,1983-07-02,2014-02-05,49.9958932238193,0.59687942170137,"med",NA,NA,NA
"YB",2010,"male","grooming","directed",6.98809523809524,0.866378137567965,7,8,"M",NA,NA,1973-07-02,1983-07-02,NA,36.9965776865161,0.449632696439726,"med",NA,NA,NA
"AJ",2011,"male","grooming","directed",3.1,0.546520492115177,4,2,"M","LP",NA,1974-07-02,1983-07-02,2014-07-23,36.9965776865161,0.830528375750685,"hi",NA,NA,NA
"BB",2011,"male","grooming","directed",3.03333333333333,1,7,3,"M",NA,NA,1966-07-02,1983-07-02,NA,44.9965776865161,0.813111546109589,"hi",NA,NA,NA
"ES",2011,"male","grooming","directed",0,0,0,1,"M","EK","AJ",1994-07-02,1996-03-03,NA,16.9965776865161,0.61487279839452,"med",NA,NA,NA
"KK",2011,"male","grooming","directed",10.4666666666667,0.715050257841429,5,5,"M","KL",NA,1985-07-15,1985-07-02,2013-05-24,25.9603011635866,1,"hi",NA,NA,NA
"LK",2011,"male","grooming","directed",7.58333333333333,0.323683177016748,2,7,"M","LP",NA,1983-07-02,1983-07-02,NA,27.9972621492129,0.928571429,"hi",NA,NA,NA
"PB",2011,"male","grooming","directed",0,0.0776778552564146,1,1,"M","PU",NA,1995-01-24,1995-02-24,NA,16.4325804243669,0.285714286,"lo",NA,NA,NA
"PG",2011,"male","grooming","directed",19.2,0.328279842714379,4,4,"M","PU",NA,1988-11-11,1988-12-24,2013-05-24,22.6338124572211,0.683365949019178,"hi",NA,NA,NA
"ST",2011,"male","grooming","directed",3.76666666666667,0.895426198607911,6,4,"M",NA,NA,1955-07-02,1983-07-02,2013-06-01,55.9972621492129,0.497847358134247,"med",NA,NA,NA
"TJ",2011,"male","grooming","directed",10.3166666666667,0.270955222218122,3,5,"M","TG","AJ",1995-08-13,1995-08-13,NA,15.8822724161533,0.357142857,"med",NA,NA,NA
"TU",2011,"male","grooming","directed",1.78333333333333,0.653115196383246,4,4,"M",NA,NA,1960-07-02,1983-07-02,2014-02-05,50.9952087611225,0.596477494879452,"med",NA,NA,NA
"YB",2011,"male","grooming","directed",16.75,0.821419728293697,6,6,"M",NA,NA,1973-07-02,1983-07-02,NA,37.9958932238193,0.466144814293151,"med",NA,NA,NA
"AJ",2012,"male","grooming","directed",12.1333333333333,1,7,4,"M","LP",NA,1974-07-02,1983-07-02,2014-07-23,37.9986310746064,0.884400208125683,"hi",NA,NA,NA
"BB",2012,"male","grooming","directed",12.0833333333333,0.829830311247867,6,3,"M",NA,NA,1966-07-02,1983-07-02,NA,45.9986310746064,0.787861046300547,"hi",NA,NA,NA
"ES",2012,"male","grooming","directed",0,0.153635180193646,1,1,"M","EK","AJ",1994-07-02,1996-03-03,NA,17.9986310746064,0.717148061117486,"hi",NA,NA,NA
"KK",2012,"male","grooming","directed",4.53333333333333,0.79751380488701,5,7,"M","KL",NA,1985-07-15,1985-07-02,2013-05-24,26.9623545516769,1,"hi",NA,NA,NA
"LK",2012,"male","grooming","directed",17.6333333333333,0.895163549187579,7,8,"M","LP",NA,1983-07-02,1983-07-02,NA,28.9993155373032,0.903460838174863,"hi",NA,NA,NA
"PB",2012,"male","grooming","directed",1.43333333333333,0.580275917769301,4,6,"M","PU",NA,1995-01-24,1995-02-24,NA,17.4346338124572,0.295784543532787,"lo",NA,NA,NA
"PG",2012,"male","grooming","directed",5.26666666666667,0.870369021263973,6,6,"M","PU",NA,1988-11-11,1988-12-24,2013-05-24,23.6358658453114,0.635441061784153,"med",NA,NA,NA
"ST",2012,"male","grooming","directed",5.11666666666667,0.553682467418759,4,3,"M",NA,NA,1955-07-02,1983-07-02,2013-06-01,56.9993155373032,0.48250065065847,"med",NA,NA,NA
"TJ",2012,"male","grooming","directed",1.25,0.451435265499261,3,6,"M","TG","AJ",1995-08-13,1995-08-13,NA,16.8843258042437,0.450884725453552,"med",NA,NA,NA
"TU",2012,"male","grooming","directed",0,0.485439848707527,3,1,"M",NA,NA,1960-07-02,1983-07-02,2014-02-05,51.9972621492129,0.554774915081967,"med",NA,NA,NA
"YB",2012,"male","grooming","directed",14.55,0.798339734023692,6,7,"M",NA,NA,1973-07-02,1983-07-02,NA,38.9979466119097,0.400286234871585,"med",NA,NA,NA
"AJ",2013,"male","grooming","directed",1.83333333333333,0.906600970996316,6,2,"M","LP",NA,1974-07-02,1983-07-02,2014-07-23,38.9979466119097,0.889062170660274,"hi",NA,NA,NA
"BB",2013,"male","grooming","directed",0.5,0.686178604487244,3,3,"M",NA,NA,1966-07-02,1983-07-02,NA,46.9979466119097,0.870489236827397,"hi",NA,NA,NA
"ES",2013,"male","grooming","directed",0,0.26480876422377,1,4,"M","EK","AJ",1994-07-02,1996-03-03,NA,18.9979466119097,0.855763460189041,"hi",NA,NA,NA
"LK",2013,"male","grooming","directed",27.1666666666667,1,7,7,"M","LP",NA,1983-07-02,1983-07-02,NA,29.9986310746064,0.83163881769863,"hi",NA,NA,NA
"MX",2013,"male","grooming","directed",0,0,0,1,"M","MU","SL",1998-01-15,1999-01-09,NA,15.4579055441478,0,"lo",NA,NA,NA
