"chimp_id","year","network_sex","behavior","network_type","bt","ec","deg","trans","sex","mother_id","father_id","dobc","dfs","dls","age_mid_year","avg_rank","rank_class","days_cycling","days_obs","prop_cyc"
"LN",2012,"female","total_grooming","undirected",0,0.193402962796109,1.25,0,"F",NA,"Tyner (Ngogo)",1995-08-17,2008-08-13,NA,16.8733744010951,0.166636642071038,"lo",27,151,0.178807947019868
"LR",2012,"female","total_grooming","undirected",19,0.433848769770446,3.0079240955062,0.455394178885461,"F","LP",NA,1989-05-15,1989-06-16,2013-05-25,23.129363449692,0.854710862762295,"hi",0,188,0
"ML",2012,"female","total_grooming","undirected",16,0.910563987456144,6.77996959026889,0.433414972409927,"F",NA,NA,1996-01-18,2009-01-14,NA,16.4517453798768,0.414640005218579,"med",0,134,0
"MU",2012,"female","total_grooming","undirected",0,0.0425900276663275,0,0,"F",NA,NA,1970-07-02,1990-02-02,2014-04-29,41.9986310746064,0.341470005404372,"med",0,49,0
"NP",2012,"female","total_grooming","undirected",17,1,7.78990877638255,0.345335893950234,"F","NL","LK",2000-02-09,2000-02-11,NA,12.3915126625599,0,"lo",0,71,0
"OT",2012,"female","total_grooming","undirected",9,0.166716432473986,3.4935141509434,0,"F","OU","ST",1998-02-13,1998-02-13,NA,14.3791923340178,0.268300006273224,"lo",0,138,0
"OU",2012,"female","total_grooming","undirected",0,0.080569925246837,2.7122641509434,0,"F",NA,NA,1979-12-14,1992-12-10,2017-07-21,32.5475701574264,1,"hi",0,134,0
"PO",2012,"female","total_grooming","undirected",0,0.0425900276663275,0,0,"F",NA,NA,1998-03-04,2011-03-01,NA,14.3271731690623,0.184857142748,"lo",11,91,0.120879120879121
"QT",2012,"female","total_grooming","undirected",9,0.628991016492699,4.79344589446416,0.319039011392527,"F",NA,NA,1992-06-20,2005-06-17,NA,20.0301163586585,0.487810004349727,"med",0,134,0
"RD",2012,"female","total_grooming","undirected",9,0.844472043326127,6.74173956817269,0.334514302037179,"F",NA,NA,1995-10-16,2008-10-12,2017-01-13,16.7091033538672,0.0260763825273224,"lo",0,85,0
"TG",2012,"female","total_grooming","undirected",8,0.0579620709170685,0.611555365373129,1,"F",NA,NA,1980-05-17,1993-05-14,NA,32.1232032854209,0.925779139161202,"hi",0,149,0
"UM",2012,"female","total_grooming","undirected",0,0.0425900276663275,0,0,"F",NA,NA,1982-12-31,1995-12-28,NA,29.5003422313484,0.560980003163934,"med",0,45,0
"WA",2012,"female","total_grooming","undirected",0,0.446482080620082,2.40963855421687,0,"F",NA,NA,1991-11-29,2004-11-25,NA,20.5886379192334,0.0470936166038251,"lo",0,44,0
"WL",2012,"female","total_grooming","undirected",0,0.0207038572563836,0.197628458498024,0,"F",NA,NA,1992-10-27,2005-10-24,NA,19.6769336071184,0.780490001923497,"hi",0,122,0
"AL",2013,"female","total_grooming","undirected",0,0.144119673531766,0,0,"F",NA,NA,1981-04-24,1994-04-21,NA,32.186173853525,0.686105675032877,"med",15,137,0.109489051094891
"BL",2013,"female","total_grooming","undirected",0,0.144119673531766,0,0,"F",NA,NA,1960-07-02,1993-05-24,2016-06-04,52.9965776865161,0.758277886550685,"hi",0,143,0
"LN",2013,"female","total_grooming","undirected",0,0.897265096501709,5.6921373200443,0,"F",NA,"Tyner (Ngogo)",1995-08-17,2008-08-13,NA,17.8726899383984,0.186379647632877,"lo",0,202,0
"ML",2013,"female","total_grooming","undirected",8,0.158004193968133,1.36501516683519,0,"F",NA,NA,1996-01-18,2009-01-14,NA,17.45106091718,0.502426614465753,"med",0,200,0
"MU",2013,"female","total_grooming","undirected",0,0.144119673531766,0,0,"F",NA,NA,1970-07-02,1990-02-02,2014-04-29,42.9979466119097,0.400547945408219,"med",0,118,0
"NP",2013,"female","total_grooming","undirected",24,0.261270361014563,2.23004616866509,0,"F","NL","LK",2000-02-09,2000-02-11,NA,13.3908281998631,0,"lo",0,183,0
"OT",2013,"female","total_grooming","undirected",23,0,1.64639177797073,0,"F","OU","ST",1998-02-13,1998-02-13,NA,15.378507871321,0.294520548175342,"lo",0,178,0
